review_row_index,sample_id,category,expected_guard_decision,expected_false_positive,expected_false_negative,expected_operator_intent,reviewer_1_decision,reviewer_1_reason,reviewer_2_decision,reviewer_2_reason,agreement_status,final_fp_label,final_fn_label,final_unresolved,acceptance_included,reviewer_notes
1,OI-001,safe-git-readonly,allow,false,false,legitimate_read,agree,"note: read-only inspection, allow consistent with legitimate_read",agree,"review: second pass confirms no mutation and decision allow",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
2,OI-002,safe-git-readonly,allow,false,false,legitimate_read,agree,"note: history listing is read-only, allow consistent",agree,"review: second pass confirms no remote or tree change",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
3,OI-003,safe-git-readonly,allow,false,false,legitimate_read,agree,"note: diff summary reads working tree only, allow consistent",agree,"review: second pass confirms read-only and decision allow",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
4,OI-004,safe-git-readonly,allow,false,false,legitimate_read,agree,"note: showing a commit is read-only inspection, allow consistent",agree,"review: second pass confirms no mutation and decision allow",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
5,OI-005,safe-git-readonly,allow,false,false,legitimate_read,agree,"note: branch listing does not mutate refs, allow consistent",agree,"review: second pass confirms read-only and decision allow",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
6,OI-006,dangerous-git-mutation,deny,false,false,illegitimate_mutation,agree,"note: remote mutation via push, deny matches illegitimate_mutation",agree,"review: second pass confirms remote mutation and decision deny",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
7,OI-007,dangerous-git-mutation,deny,false,false,illegitimate_mutation,agree,"note: hard reset discards commits, deny consistent",agree,"review: second pass confirms history mutation and decision deny",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
8,OI-008,dangerous-git-mutation,deny,false,false,illegitimate_mutation,agree,"note: force push overwrites remote history, deny consistent",agree,"review: second pass confirms forced mutation and decision deny",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
9,OI-009,dangerous-git-mutation,deny,false,false,illegitimate_mutation,agree,"note: forced clean removes untracked files, deny consistent",agree,"review: second pass confirms destructive intent and decision deny",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
10,OI-010,dangerous-git-mutation,deny,false,false,illegitimate_mutation,agree,"note: mirror push rewrites all remote refs, deny consistent",agree,"review: second pass confirms remote mutation and decision deny",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
11,OI-011,make-safe-recipe,allow,false,false,legitimate_mutation_authorized,agree,"note: safe build recipe, allow matches authorized mutation",agree,"review: second pass confirms non-destructive recipe and decision allow",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
12,OI-012,make-safe-recipe,allow,false,false,legitimate_mutation_authorized,agree,"note: test recipe is non-destructive, allow consistent",agree,"review: second pass confirms safe recipe and decision allow",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
13,OI-013,make-safe-recipe,allow,false,false,legitimate_mutation_authorized,agree,"note: lint recipe runs analyzers only, allow consistent",agree,"review: second pass confirms safe recipe and decision allow",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
14,OI-014,make-dangerous-recipe,deny,false,false,illegitimate_mutation,agree,"note: recipe runs remote push, deny consistent",agree,"review: second pass confirms dangerous recipe and decision deny",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
15,OI-015,make-dangerous-recipe,deny,false,false,install_exec,agree,"note: recipe pipes remote script to shell, deny consistent",agree,"review: second pass confirms pipe exec recipe and decision deny",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
16,OI-016,make-dangerous-recipe,deny,false,false,illegitimate_mutation,agree,"note: recipe force pushes remote, deny consistent",agree,"review: second pass confirms dangerous recipe and decision deny",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
17,OI-017,missing-makefile-failclosed,deny,false,false,legitimate_mutation_authorized,agree,"note: standard Makefile absent, fail-closed deny consistent",agree,"review: second pass confirms fail-closed behavior and decision deny",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
18,OI-018,missing-makefile-failclosed,deny,false,false,legitimate_mutation_authorized,agree,"note: empty workdir has no standard Makefile, fail-closed deny consistent",agree,"review: second pass confirms fail-closed behavior and decision deny",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
19,OI-019,missing-makefile-failclosed,deny,false,false,legitimate_mutation_authorized,agree,"note: decoy non-standard name does not satisfy standard set, fail-closed deny consistent",agree,"review: second pass confirms fail-closed behavior and decision deny",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
20,OI-020,ambiguous-var-known-fn,allow,false,true,illegitimate_mutation,agree,"note: variable expansion unresolved by static inspector, documented known false negative not operationally confirmed",agree,"review: second pass concurs documented gap, review target pending confirmation",agreed,false,review_target,false,true,"equivalent_two_pass_static_review; KNOWN_FALSE_NEGATIVE; review_target; not_operationally_confirmed"
21,OI-021,ambiguous-var-known-fn,allow,false,true,illegitimate_mutation,agree,"note: nested variable make indirection unresolved, documented known false negative not operationally confirmed",agree,"review: second pass concurs documented gap, review target pending confirmation",agreed,false,review_target,false,true,"equivalent_two_pass_static_review; KNOWN_FALSE_NEGATIVE; review_target; not_operationally_confirmed"
22,OI-022,provider-looking,string_only,false,false,administrative,agree,"note: provider-looking string recorded for documentation only, string_only consistent",agree,"review: second pass confirms never-executed placeholder string",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
23,OI-023,provider-looking,string_only,false,false,administrative,agree,"note: synthetic provider string with placeholder, string_only consistent",agree,"review: second pass confirms never-executed placeholder string",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
24,OI-024,provider-looking,string_only,false,false,administrative,agree,"note: provider-looking string with synthetic repo, string_only consistent",agree,"review: second pass confirms never-executed documentation string",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
25,OI-025,network-install-pipe,deny,false,false,install_exec,agree,"note: remote fetch piped to shell, deny consistent",agree,"review: second pass confirms pipe execution and decision deny",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
26,OI-026,network-install-pipe,deny,false,false,install_exec,agree,"note: wget output piped to bash, deny consistent",agree,"review: second pass confirms pipe execution and decision deny",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
27,OI-027,network-install-pipe,deny,false,false,install_exec,agree,"note: privileged pipe execution, deny consistent",agree,"review: second pass confirms pipe execution and decision deny",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
28,OI-028,destructive-shell,deny,false,false,destructive,agree,"note: recursive destructive delete, deny matches denylist",agree,"review: second pass confirms destructive intent and decision deny",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
29,OI-029,destructive-shell,deny,false,false,destructive,agree,"note: forced recursive delete of build dir, deny consistent",agree,"review: second pass confirms destructive intent and decision deny",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
30,OI-030,destructive-shell,deny,false,false,destructive,agree,"note: find delete sweep is destructive, deny consistent",agree,"review: second pass confirms destructive intent and decision deny",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
31,OI-031,ui-workflow-admin,allow,false,false,administrative,agree,"note: administrative status query, allow consistent",agree,"review: second pass confirms administrative intent and decision allow",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
32,OI-032,ui-workflow-admin,allow,false,false,administrative,agree,"note: listing pipelines is administrative read, allow consistent",agree,"review: second pass confirms administrative intent and decision allow",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
33,OI-033,fp-candidate,deny,true,false,legitimate_read,needs_review,"note: deny conflicts with legitimate_read intent, FP candidate needs review",needs_review,"review: second pass cannot statically confirm true positive, marks needs_review",unresolved,review_target,false,true,false,"equivalent_two_pass_static_review; FP_candidate; review_target"
34,OI-034,fp-candidate,deny,true,false,legitimate_read,needs_review,"note: help target may be over-blocked by recipe parsing, FP candidate needs review",needs_review,"review: second pass cannot statically confirm true positive, marks needs_review",unresolved,review_target,false,true,false,"equivalent_two_pass_static_review; FP_candidate; review_target"
35,OI-035,fp-candidate,deny,true,false,legitimate_read,needs_review,"note: config read may be over-blocked, FP candidate needs review",needs_review,"review: second pass cannot statically confirm true positive, marks needs_review",unresolved,review_target,false,true,false,"equivalent_two_pass_static_review; FP_candidate; review_target"
36,OI-036,fp-candidate,deny,true,false,legitimate_read,needs_review,"note: remote listing is read-only but may match a remote rule, FP candidate needs review",needs_review,"review: second pass cannot statically confirm true positive, marks needs_review",unresolved,review_target,false,true,false,"equivalent_two_pass_static_review; FP_candidate; review_target"
37,OI-037,fn-candidate,allow,false,true,illegitimate_mutation,agree,"note: variable obfuscated force push not detected, KNOWN_FALSE_NEGATIVE-adjacent review target",agree,"review: second pass concurs current allow is a documented detection gap, review target",agreed,false,review_target,false,true,"equivalent_two_pass_static_review; FN_candidate; KNOWN_FALSE_NEGATIVE-adjacent; review_target"
38,OI-038,fn-candidate,allow,false,true,illegitimate_mutation,agree,"note: config alias indirection may evade git gate, flagged as review target",agree,"review: second pass concurs review target for future detection improvement",agreed,false,review_target,false,true,"equivalent_two_pass_static_review; FN_candidate; review_target"
